,start_location,end_location
175,"(26492.639332512976, 27422.151660594653)","(26431.494813270692, 27377.263814476522)"
176,"(26431.494813270692, 27377.263814476522)","(26408.157659792414, 27410.018185907888)"
177,"(26855.456748673518, 28339.396177846676)","(26855.456748673518, 28339.396177846676)"
178,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
179,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
180,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
181,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
182,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
183,"(26924.16594284406, 28096.99359715366)","(26941.68482863193, 28054.774900157616)"
184,"(26941.68482863193, 28054.774900157616)","(26967.76443664744, 28016.928148561885)"
185,"(26967.76443664744, 28016.928148561885)","(26981.38428018395, 27967.028722701565)"
186,"(26981.38428018395, 27967.028722701565)","(26579.631128297202, 27753.031234996015)"
187,"(26579.631128297202, 27753.031234996015)","(26510.302919004433, 27702.500510842277)"
188,"(26510.302919004433, 27702.500510842277)","(26657.472672116128, 27497.300685877766)"
189,"(26657.472672116128, 27497.300685877766)","(26664.288192855296, 27336.06438356251)"
190,"(26664.288192855296, 27336.06438356251)","(26474.123630980248, 27193.221156879008)"
191,"(26474.123630980248, 27193.221156879008)","(26534.606434821486, 27111.724730131944)"
192,"(26534.606434821486, 27111.724730131944)","(26417.96874422081, 27029.039747455186)"
193,"(26417.96874422081, 27029.039747455186)","(26477.99966321155, 26931.83530944874)"
194,"(26477.99966321155, 26931.83530944874)","(26601.485282623893, 26981.457366273884)"
195,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
196,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
197,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
198,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
199,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
