,StartStationID,StartStationName,Start Latitude,Start Longitude,EndStationID,EndStationName,End Latitude,End Longitude,distance,duration
480,246.0,"Berry Street, Clerkenwell",51.52285301,-0.099994052,41.0,"Sun Street, Liverpool Street",51.52001715,-0.083911168,1883,426
481,246.0,"Berry Street, Clerkenwell",51.52285301,-0.099994052,73.0,"Old Street Station, St. Luke's",51.52572618,-0.088486188,879,203
482,246.0,"Berry Street, Clerkenwell",51.52285301,-0.099994052,154.0,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,3322,763
483,248.0,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,191.0,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,1393,298
484,248.0,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,248.0,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,0,0
485,248.0,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,1678,345
486,248.0,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,304.0,"Cumberland Gate, Hyde Park",51.51211869,-0.16209757,2293,460
487,248.0,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,407.0,"Speakers' Corner 1, Hyde Park",51.512303,-0.159988,2281,524
488,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,39.0,"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,883,282
489,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,132.0,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,747,258
490,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,154.0,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,3708,975
491,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,0,0
492,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,390.0,"Buxton Street 1, Shoreditch",51.521776,-0.068856,1006,221
493,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,399.0,"Brick Lane Market, Shoreditch",51.52261762,-0.071653961,890,205
494,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,443.0,"Philpot Street, Whitechapel",51.515256,-0.058641,1844,375
495,251.0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,732.0,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,1839,445
496,252.0,"Jubilee Gardens, South Bank",51.5046364,-0.116542278,194.0,"Hop Exchange, The Borough",51.50462759,-0.091773776,2002,490
497,252.0,"Jubilee Gardens, South Bank",51.5046364,-0.116542278,252.0,"Jubilee Gardens, South Bank",51.5046364,-0.116542278,0,0
498,253.0,"Shoreditch Park, Hoxton",51.53404294,-0.086379717,55.0,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,2243,588
499,253.0,"Shoreditch Park, Hoxton",51.53404294,-0.086379717,73.0,"Old Street Station, St. Luke's",51.52572618,-0.088486188,1126,315
500,253.0,"Shoreditch Park, Hoxton",51.53404294,-0.086379717,140.0,"Finsbury Square , Moorgate",51.52096262,-0.085634242,1752,410
501,263.0,"St. Mary Axe, Aldgate",51.51422502,-0.080660083,154.0,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,3383,855
